Date,Hours,Minutes,Description,Team Member,Type,Category,Property,Activity
3/13/2024,3,0,test1,Ronald Raymond,LTR,Material,LTR Property,Property Management
12/10/2024,2,0,test2,Riley Raymond,STR,Material,STR Property,Property Improvements and Repairs
6/21/2024,5,0,test3,Ronald Raymond,LTR,Material,LTR Property,Property Selling
7/11/2024,6,0,test4,Riley Raymond,LTR,Material,LTR Property,Property Acquisitions
10/24/2024,4,0,test5,Ronald Raymond,LTR,Material,LTR Property,Property Management
7/21/2024,3,0,test6,Ronald Raymond,LTR,Material,LTR Property,Other
8/2/2024,9,0,test7,Ronald Raymond,STR,Material,STR Property,Other
6/4/2024,6,0,test8,Ronald Raymond,STR,Material,STR Property,Other
12/30/2024,6,0,test9,Riley Raymond,LTR,Material,LTR Property,Property Management
10/30/2024,5,0,test10,Riley Raymond,STR,Material,STR Property,Property Management
8/14/2024,7,0,test11,Riley Raymond,LTR,Material,LTR Property,Property Management
10/4/2024,7,0,test12,Riley Raymond,STR,Material,STR Property,Property Management
4/6/2024,1,0,test13,Ronald Raymond,LTR,Material,LTR Property,Property Improvements and Repairs
3/6/2024,6,0,test14,Ronald Raymond,LTR,Material,LTR Property,Property Selling
4/16/2024,5,0,test15,Ronald Raymond,STR,Material,STR Property,Property Management
1/11/2024,3,0,test16,Riley Raymond,STR,Material,STR Property,Property Improvements and Repairs
5/6/2024,5,0,test17,Ronald Raymond,STR,Material,STR Property,Property Management
10/14/2024,8,0,test18,Ronald Raymond,STR,Material,STR Property,Other
7/24/2024,4,0,test19,Ronald Raymond,LTR,Material,LTR Property,Other
9/30/2024,2,0,test20,Ronald Raymond,STR,Material,STR Property,Property Acquisitions
1/11/2024,5,0,test21,Riley Raymond,LTR,Material,LTR Property,Other
3/13/2024,6,0,test22,Ronald Raymond,LTR,Material,LTR Property,Property Selling
3/30/2024,1,0,test23,Riley Raymond,LTR,Material,LTR Property,Property Selling
8/30/2024,2,0,test24,Riley Raymond,LTR,Material,LTR Property,Property Selling
5/19/2024,2,0,test25,Riley Raymond,LTR,Material,LTR Property,Property Management
11/23/2024,5,0,test26,Riley Raymond,STR,Material,STR Property,Property Improvements and Repairs
3/3/2024,1,0,test27,Ronald Raymond,STR,Material,STR Property,Property Improvements and Repairs
12/2/2024,2,0,test28,Riley Raymond,LTR,Material,LTR Property,Property Improvements and Repairs
1/21/2024,9,0,test29,Riley Raymond,STR,Material,STR Property,Property Improvements and Repairs
11/10/2024,7,0,test30,Riley Raymond,STR,Material,STR Property,Other
9/12/2024,9,0,test31,Ronald Raymond,LTR,Material,LTR Property,Property Improvements and Repairs
12/17/2024,4,0,test32,Ronald Raymond,LTR,Material,LTR Property,Property Management
6/8/2024,6,0,test33,Riley Raymond,LTR,Material,LTR Property,Property Improvements and Repairs
1/14/2024,2,0,test34,Ronald Raymond,LTR,Material,LTR Property,Other
8/27/2024,3,0,test35,Ronald Raymond,LTR,Material,LTR Property,Property Selling
6/25/2024,9,0,test36,Riley Raymond,LTR,Material,LTR Property,Property Acquisitions
3/16/2024,4,0,test37,Ronald Raymond,LTR,Material,LTR Property,Property Improvements and Repairs
7/7/2024,4,0,test38,Ronald Raymond,STR,Material,STR Property,Other
9/16/2024,9,0,test39,Riley Raymond,STR,Material,STR Property,Property Improvements and Repairs
4/17/2024,9,0,test40,Ronald Raymond,LTR,Material,LTR Property,Property Acquisitions
8/9/2024,9,0,test41,Riley Raymond,LTR,Material,LTR Property,Property Acquisitions
8/9/2024,5,0,test42,Ronald Raymond,LTR,Material,LTR Property,Property Selling
11/12/2024,3,0,test43,Ronald Raymond,LTR,Material,LTR Property,Property Acquisitions
4/14/2024,5,0,test44,Riley Raymond,LTR,Material,LTR Property,Property Improvements and Repairs
4/11/2024,1,0,test45,Riley Raymond,LTR,Material,LTR Property,Property Management
7/8/2024,3,0,test46,Riley Raymond,STR,Material,STR Property,Property Improvements and Repairs
6/29/2024,4,0,test47,Ronald Raymond,STR,Material,STR Property,Other
4/9/2024,6,0,test48,Ronald Raymond,STR,Material,STR Property,Property Improvements and Repairs
10/23/2024,9,0,test49,Riley Raymond,LTR,Material,LTR Property,Property Acquisitions
12/24/2024,7,0,test50,Ronald Raymond,LTR,Material,LTR Property,Property Management
5/24/2024,9,0,test51,Ronald Raymond,LTR,Material,LTR Property,Property Management
11/3/2024,7,0,test52,Ronald Raymond,STR,Material,STR Property,Property Acquisitions
2/14/2024,7,0,test53,Ronald Raymond,STR,Material,STR Property,Property Acquisitions
8/29/2024,5,0,test54,Riley Raymond,STR,Material,STR Property,Property Improvements and Repairs
12/7/2024,4,0,test55,Riley Raymond,LTR,Material,LTR Property,Property Management
10/21/2024,6,0,test56,Ronald Raymond,LTR,Material,LTR Property,Property Improvements and Repairs
3/14/2024,6,0,test57,Ronald Raymond,LTR,Material,LTR Property,Property Improvements and Repairs
6/5/2024,2,0,test58,Ronald Raymond,LTR,Material,LTR Property,Property Management
2/2/2024,4,0,test59,Riley Raymond,LTR,Material,LTR Property,Other
